scenario,zone,rainfall,disruption_freq,duration,traffic,order_drop,activity,claims,rolling_disruption_3h,traffic_lag_1,previous_risk_score,risk_trend_1h,risk_score
heavy_rain,HR-3,0.4599923947413581,0.4274853207129027,0.4138837606198955,0.44885845538076413,0.4343146146499438,0.5730220594164159,0.41900356781408726,0.5491617735709675,0.66,0.62,0.42126875521873336,0.6552392309475761
heavy_rain,HR-3,0.7271278175881332,0.7368683782564635,0.6538668524136733,0.6183363251047117,0.6335969301719768,0.44394788799363427,0.5893609966538095,0.6014512329897888,0.44885845538076413,0.6552392309475761,0.574520717524792,0.9196176111616146
traffic_congestion,MR-2,0.3410407579409971,0.339859817636517,0.2810883576324245,0.32266036378724683,0.3581904262754144,0.7814969440196605,0.3038375677729711,0.4299532725455057,0.5,0.45,0.43750403628475276,0.47203379153896063
traffic_congestion,LR-1,0.632107119577679,0.5452048543188245,0.563124020721476,0.5624322783864583,0.6031718532238527,0.5616110570470342,0.529004887687718,0.39840161810627484,0.35,0.3,0.5865274265410565,0.7325052444233625
heavy_rain,HR-3,0.8319300797696361,0.7396036674150599,0.716514676760423,0.7988039396481894,0.7334147878213426,0.40493893890589017,0.5924444302698567,0.6346524554614753,0.6183363251047117,0.9196176111616146,0.567578886494771,1.0
traffic_congestion,LR-1,0.4997561063784908,0.5221158738467259,0.444687232990208,0.38555562119343995,0.3896409954415998,0.5041939762406773,0.41020418977383577,0.4724402427218501,0.5624322783864583,0.7325052444233625,0.4795273578988591,0.7028795294952072
traffic_congestion,MR-2,0.39909863461628914,0.37062767890888426,0.3353418876849257,0.38773752818989043,0.3056891581861726,0.7085511890199953,0.278608227712316,0.40349583218180046,0.32266036378724683,0.47203379153896063,0.5031549868986539,0.5337138385151223
traffic_congestion,LR-1,0.5031455577408578,0.3973924466077418,0.35932475611899445,0.3842983617797065,0.4003263908035533,0.6741957436054686,0.3287010673456212,0.48823772492443074,0.38555562119343995,0.7028795294952072,0.47249496462224666,0.639000689914843
heavy_rain,HR-3,0.8244220637133116,0.7489648939899555,0.768903830270179,0.5687408086045226,0.7709141908740792,0.34475188986925825,0.6561071889893872,0.7418123132204929,0.7988039396481894,1.0,0.4561331480221054,1.0
heavy_rain,LR-1,0.5224820504370083,0.4882866631966629,0.4723585496930542,0.5238889981402286,0.5781202445850673,0.6211829651333777,0.49332929701449085,0.46926499455037685,0.3842983617797065,0.639000689914843,0.5336246278659902,0.7045818208315915
normal,MR-2,0.1995412201036383,0.19254478022279006,0.10464749539197193,0.13613419637765506,0.19886393638657063,0.8996258749499197,0.25337775753012726,0.3010107589227305,0.38773752818989043,0.5337138385151223,0.4171395400275708,0.3503070182769259
traffic_congestion,LR-1,0.06770411201849882,0.12457324406088371,0.06526798290430665,0.29024108336623433,0.10712236616645489,0.8984541430219388,0.05207987854782076,0.33675078462176283,0.5238889981402286,0.7045818208315915,0.3896171548769374,0.3154521911234143
normal,MR-2,0.26613757517725384,0.22863840145598274,0.172776794594423,0.17962437175008625,0.1963401520321708,0.9357960102766865,0.15707209398414865,0.26393695352921903,0.13613419637765506,0.3503070182769259,0.49810846945251536,0.3013268774417411
platform_outage,HR-3,0.3529021227075891,0.4489802021047959,0.31407835229923253,0.2809488701608461,0.24778777423102105,0.6526173505201072,0.3451798638501135,0.6458495878366037,0.5687408086045226,1.0,0.3833807965917223,0.6266226444242528
traffic_congestion,HR-3,0.5990268376425694,0.5751079501550076,0.6111281759805997,0.5472425131910751,0.4878397051894867,0.40197749122821824,0.5316074463162792,0.591017682083253,0.2809488701608461,0.6266226444242528,0.5484858090275722,0.8070437209332719
normal,LR-1,0.32485148110502304,0.3298049505632195,0.27362677074318054,0.2820523579926088,0.292382464671439,0.7427815935493672,0.327172436972726,0.3142216192735887,0.29024108336623433,0.3154521911234143,0.5030372543121642,0.4622150148138864
normal,LR-1,0.36157609407416647,0.3084758985205842,0.360593572673834,0.21159816620273036,0.3228384897454078,0.6837771393438695,0.27243618795801317,0.2542846977148958,0.2820523579926088,0.4622150148138864,0.5021665218837308,0.4737126709502877
platform_outage,HR-3,0.27242140823028715,0.3751447240954009,0.21150452696861288,0.3247871296521235,0.28034889584038253,0.865139793685185,0.34444919646524563,0.46641095878506816,0.5472425131910751,0.8070437209332719,0.4281290528853095,0.5281337479440558
traffic_congestion,MR-2,0.1426057374346588,0.17864698107260427,0.02818896093184925,0.24917682802265173,0.087716249439551,0.8470083549361456,0.07198418472772869,0.19994338758379235,0.17962437175008625,0.3013268774417411,0.5075215693011567,0.21843997851464678
traffic_congestion,LR-1,0.7820824986906448,0.8362152324800041,0.6561224641381851,0.6184720722392246,0.7389301428448302,0.41180348182028087,0.6407153212350704,0.4914986938546026,0.21159816620273036,0.4737126709502877,0.6847897427949192,0.9851321975440022
normal,LR-1,0.31383285356207813,0.2760552656711109,0.28650254510898965,0.23692680681991574,0.3148976152253582,0.8125137067710013,0.2734780681002656,0.4735821322238997,0.6184720722392246,0.9851321975440022,0.36443288695030157,0.5301463691241302
heavy_rain,HR-3,0.6822194857897073,0.7379323594660425,0.6444324395738287,0.5509176867951906,0.5616685533320394,0.4471151131256083,0.5645158686910777,0.5627283445721504,0.3247871296521235,0.5281337479440558,0.597787315896781,0.8291484874869558
heavy_rain,MR-2,0.8399570100777244,0.7801910974761054,0.7293995672594503,0.6917300272820174,0.760606469462069,0.32897844858671,0.7434050993298914,0.39582549333489747,0.24917682802265173,0.21843997851464678,0.7038203210942355,0.9402926715994336
traffic_congestion,LR-1,0.6617352309361357,0.687068933910311,0.5239353781915503,0.6325090995205547,0.6045530362896181,0.42961595590525686,0.5179533912159265,0.599779810687142,0.23692680681991574,0.5301463691241302,0.6053031955070785,0.8958327028545663
platform_outage,MR-2,0.5193820299544939,0.5734861804027854,0.5196640658885557,0.4458692512252667,0.4863787605989374,0.4696559290765261,0.49366394667804336,0.5107747529838317,0.6917300272820174,0.9402926715994336,0.469641273014336,0.8152841734920767
heavy_rain,HR-3,0.6304015978214705,0.6569399329230351,0.49406709227697426,0.5685542365900084,0.5192839821899888,0.4287511602360112,0.5662783193736132,0.5900056721614928,0.5509176867951906,0.8291484874869558,0.5236075881874263,0.8448849586822662
platform_outage,HR-3,0.37140191654349664,0.40793576283679267,0.39933409595314096,0.4204544529818087,0.22271233066618268,0.6640936068633051,0.2645036981222472,0.6009360184086234,0.5685542365900084,0.8448849586822662,0.41247996660681086,0.6500080082268347
traffic_congestion,HR-3,0.45419549111504337,0.46346444897131545,0.45295893286696365,0.4075512383625004,0.47331490004438237,0.6593123084360439,0.4208840969154624,0.5094467149103811,0.4204544529818087,0.6500080082268347,0.48362467729441866,0.6752764494844312
normal,LR-1,0.1813928841051919,0.13711785897997342,0.14814813915365013,0.3000376187992433,0.14550465637528615,0.8240326194119778,0.1387051155395591,0.3667473528537985,0.6325090995205547,0.8958327028545663,0.3646168556935902,0.40363861424360015
platform_outage,HR-3,0.3627515546681145,0.4238055815577837,0.2385110899759112,0.48494873810706857,0.33548158859314237,0.6791730251889179,0.37323191918729304,0.43173526445529725,0.4075512383625004,0.6752764494844312,0.5131005950796595,0.5677151757655987
traffic_congestion,HR-3,0.15917283640869684,0.1531413331119043,0.026544080276836426,0.27430845282254485,0.14017797503203905,0.9201676485244925,0.157144934575977,0.3468037878803345,0.48494873810706857,0.5677151757655987,0.3997732065125662,0.30878298880278315
